timestamp,acceleration
0.0,0.012
0.025,0.012
0.115,0.011
0.127,0.012
0.192,0.011
0.224,0.012
0.259,0.012
0.29,0.011
0.36,0.011
0.4,0.012
0.405,0.012
0.474,0.011
0.515,0.012
0.529,0.011
0.612,0.011
0.616,0.012
0.665,0.012
0.669,0.011
0.793,0.012
0.794,0.011
0.835,0.011
0.855,0.012
0.904,0.011
0.925,0.012
0.97,0.012
1.032,0.011
1.104,0.012
1.114,0.011
1.143,0.011
1.187,0.012
1.234,0.011
1.243,0.012
1.309,0.012
1.34,0.011
1.409,0.012
1.434,0.011
1.475,0.012
1.531,0.011
1.549,0.012
1.552,0.011
1.649,0.011
1.654,0.012
1.747,0.011
1.752,0.012
1.855,0.011
1.859,0.012
1.902,0.012
1.916,0.011
1.985,0.011
2.016,0.012
2.047,0.012
2.075,0.011
2.141,0.012
2.182,0.011
2.221,0.011
2.225,0.012
2.3,0.011
2.31,0.012
2.355,0.011
2.381,0.012
2.432,0.011
2.443,0.012
2.542,0.012
2.57,0.011
2.608,0.011
2.654,0.012
2.673,0.011
2.687,0.012
2.778,0.012
2.801,0.011
2.89,0.011
2.894,0.012
2.952,0.011
2.957,0.012
3.012,0.011
3.025,0.012
3.118,0.012
3.119,0.011
3.199,0.011
3.21,0.012
3.262,0.012
3.28,0.011
3.356,0.012
3.376,0.011
3.436,0.011
3.465,0.012
3.477,0.011
3.543,0.012
3.559,0.012
3.633,0.011
3.655,0.012
3.674,0.011
3.742,0.011
3.76,0.012
3.835,0.011
3.867,0.012
3.899,0.011
3.905,0.012
3.975,0.011
4.032,0.012
4.076,0.012
4.115,0.011
4.141,0.012
4.162,0.011
4.205,0.012
4.215,0.011
4.296,0.011
4.302,0.012
4.394,0.012
4.42,0.01
4.451,0.011
4.51,0.012
4.581,0.011
4.607,0.012
4.624,0.011
4.676,0.012
4.732,0.011
4.736,0.012
4.776,0.011
4.827,0.012
4.9,0.011
4.927,0.012
4.968,0.012
4.999,0.011
5.051,0.011
5.059,0.012
5.133,0.012
5.162,0.011
5.181,0.012
5.238,0.011
5.263,0.011
5.332,0.012
5.352,0.011
5.387,0.012
5.476,0.012
5.48,0.011
5.527,0.011
5.539,0.012
5.58,0.012
5.595,0.011
5.671,0.012
5.717,0.011
5.782,0.012
5.802,0.011
5.833,0.011
5.887,0.012
5.923,0.011
5.932,0.012
6.009,0.012
6.021,0.011
6.091,0.011
6.103,0.012
6.198,0.011
6.207,0.012
6.234,0.011
6.275,0.013
6.315,0.012
6.356,0.011
6.43,0.011
6.45,0.012
6.482,0.012
6.537,0.011
6.604,0.011
6.614,0.012
6.652,0.012
6.673,0.011
6.724,0.012
6.732,0.011
6.807,0.011
6.848,0.012
6.927,0.012
6.93,0.011
6.96,0.012
6.992,0.01
7.038,0.012
7.102,0.011
7.123,0.011
7.174,0.012
7.222,0.012
7.262,0.011
7.308,0.011
7.347,0.012
7.365,0.011
7.408,0.012
7.463,0.012
7.5,0.011
7.521,0.012
7.554,0.011
7.606,0.012
7.658,0.011
7.71,0.012
7.758,0.011
7.767,0.011
7.779,0.012
7.877,0.012
7.884,0.011
7.946,0.011
7.959,0.012
8.006,0.011
8.022,0.012
8.101,0.012
8.156,0.011
8.217,0.011
8.243,0.012
8.263,0.011
8.307,0.012
8.335,0.011
8.341,0.012
8.422,0.012
8.446,0.011
8.502,0.012
8.55,0.011
8.58,0.011
8.583,0.012
8.662,0.012
8.666,0.011
8.802,0.011
8.805,0.012
8.852,0.012
8.865,0.011
8.936,0.011
8.952,0.012
9.008,0.011
9.014,0.012
9.063,0.012
9.072,0.011
9.137,0.012
9.19,0.011
9.245,0.011
9.295,0.012
9.352,0.011
9.369,0.012
9.4,0.011
9.432,0.012
9.474,0.011
9.508,0.012
9.543,0.011
9.548,0.012
9.645,0.012
9.685,0.011
9.737,0.011
9.742,0.012
9.827,0.012
9.829,0.011
9.862,0.011
9.929,0.012
9.987,0.011
10.007,0.012
10.035,0.011
10.04,0.012
10.153,0.012
10.161,0.011
10.231,0.011
10.246,0.012
10.311,0.012
10.337,0.011
10.378,0.012
10.383,0.011
10.467,0.012
10.501,0.011
10.527,0.012
10.568,0.011
10.62,0.011
10.656,0.012
10.674,0.012
10.739,0.011
10.793,0.012
10.82,0.011
10.85,0.011
10.9,0.012
10.955,0.012
10.979,0.011
11.023,0.011
11.072,0.012
11.132,0.012
11.142,0.011
11.18,0.011
11.222,0.012
11.256,0.012
11.294,0.011
11.33,0.012
11.339,0.011
11.403,0.011
11.414,0.012
11.5,0.012
11.501,0.011
11.603,0.011
11.611,0.012
11.693,0.012
11.719,0.011
11.786,0.012
11.8,0.011
11.829,0.012
11.83,0.011
11.896,0.012
11.94,0.011
12.022,0.012
12.028,0.011
12.058,0.011
12.077,0.012
12.172,0.011
12.179,0.012
12.232,0.011
12.258,0.012
12.322,0.012
12.348,0.011
12.392,0.011
12.394,0.012
12.501,0.012
12.522,0.011
12.562,0.012
12.588,0.011
12.614,0.011
12.689,0.012
12.744,0.012
12.759,0.011
12.777,0.011
12.797,0.012
12.885,0.011
12.927,0.012
12.97,0.011
13.006,0.012
13.038,0.012
13.06,0.011
13.148,0.012
13.172,0.011
13.208,0.012
13.226,0.011
13.305,0.012
13.328,0.011
13.355,0.012
13.411,0.011
13.432,0.012
13.487,0.011
13.517,0.011
13.561,0.013
13.602,0.011
13.635,0.012
13.695,0.012
13.703,0.011
13.784,0.012
13.815,0.011
13.859,0.011
13.887,0.012
13.907,0.011
13.96,0.012
14.009,0.011
14.013,0.012
14.102,0.012
14.12,0.011
14.192,0.012
14.199,0.011
14.237,0.01
14.298,0.012
14.352,0.011
14.363,0.012
14.427,0.011
14.43,0.012
14.491,0.011
14.5,0.012
14.58,0.012
14.591,0.011
14.655,0.012
14.691,0.011
14.72,0.011
14.746,0.012
14.793,0.012
14.821,0.011
14.875,0.011
14.907,0.012
14.975,0.011
15.018,0.012
15.066,0.012
15.092,0.011
15.162,0.012
15.195,0.011
15.228,0.011
15.246,0.012
15.294,0.011
15.343,0.012
15.41,0.011
15.431,0.013
15.458,0.012
15.513,0.011
15.52,0.011
15.561,0.012
15.657,0.011
15.658,0.012
15.686,0.012
15.71,0.011
15.776,0.012
15.79,0.011
15.885,0.012
15.921,0.011
15.96,0.012
15.965,0.011
16.023,0.012
16.027,0.011
16.09,0.012
16.16,0.011
16.168,0.012
16.185,0.011
16.259,0.012
16.28,0.01
16.343,0.012
16.392,0.011
16.438,0.011
16.478,0.012
16.506,0.011
16.567,0.012
16.62,0.011
16.627,0.012
16.663,0.012
16.702,0.011
16.77,0.012
16.795,0.011
16.825,0.011
16.832,0.012
16.921,0.012
16.922,0.011
17.025,0.012
17.043,0.011
17.083,0.011
17.13,0.013
17.149,0.011
17.152,0.012
17.255,0.012
17.298,0.011
17.317,0.011
17.35,0.012
17.414,0.011
17.452,0.012
17.464,0.012
17.482,0.011
17.57,0.012
17.588,0.011
17.639,0.011
17.655,0.012
17.728,0.012
17.742,0.011
17.837,0.012
17.862,0.011
17.886,0.012
17.893,0.011
18.017,0.011
18.02,0.012
18.062,0.012
18.093,0.011
18.139,0.011
18.153,0.012
18.222,0.012
18.23,0.011
18.315,0.012
18.341,0.011
18.405,0.011
18.412,0.012
18.466,0.012
18.501,0.011
18.567,0.012
18.585,0.011
18.637,0.012
18.64,0.011
18.692,0.012
18.749,0.011
18.769,0.011
18.822,0.012
18.875,0.011
18.881,0.012
18.92,0.011
18.926,0.012
19.042,0.011
19.048,0.012
19.125,0.012
19.14,0.011
19.164,0.012
19.209,0.011
19.247,0.011
19.285,0.012
19.337,0.012
19.382,0.011
19.415,0.011
19.426,0.012
19.491,0.011
19.533,0.012
19.571,0.012
19.616,0.011
19.653,0.012
19.719,0.011
19.765,0.012
19.781,0.011
19.818,0.011
19.84,0.012
19.904,0.011
19.913,0.012
20.009,0.011
20.03,0.012
20.076,0.012
20.077,0.011
20.156,0.012
20.187,0.011
20.222,0.011
20.247,0.012
20.335,0.012
20.356,0.011
20.383,0.012
20.405,0.011
20.457,0.012
20.506,0.011
20.547,0.012
20.576,0.01
20.656,0.012
20.672,0.011
20.74,0.011
20.749,0.012
20.82,0.012
20.836,0.011
20.858,0.011
20.927,0.012
20.937,0.011
21.002,0.012
21.033,0.012
21.045,0.011
21.14,0.012
21.154,0.011
21.242,0.011
21.246,0.012
21.272,0.011
21.277,0.012
21.373,0.011
21.419,0.012
21.439,0.012
21.487,0.011
21.558,0.011
21.568,0.012
21.639,0.011
21.649,0.012
21.697,0.012
21.7,0.011
21.78,0.012
21.79,0.011
21.853,0.012
21.865,0.011
21.91,0.012
21.915,0.011
22.0,0.012
22.063,0.011
22.072,0.012
22.108,0.011
22.187,0.012
22.223,0.011
22.254,0.012
22.263,0.011
22.339,0.012
22.345,0.011
22.404,0.012
22.43,0.011
22.509,0.011
22.537,0.012
22.554,0.011
22.592,0.012
22.662,0.012
22.665,0.011
22.722,0.011
22.735,0.012
22.812,0.012
22.816,0.011
22.953,0.012
22.955,0.011
23.029,0.012
23.036,0.011
23.079,0.012
23.111,0.011
23.166,0.012
23.194,0.011
23.256,0.011
23.279,0.012
23.302,0.011
23.349,0.012
23.392,0.011
23.404,0.012
23.464,0.011
23.482,0.012
23.563,0.011
23.565,0.012
23.611,0.012
23.67,0.011
23.702,0.012
23.764,0.011
23.819,0.011
23.839,0.012
23.855,0.011
23.88,0.012
23.982,0.012
23.99,0.011
24.02,0.012
24.083,0.011
24.098,0.011
24.13,0.012
24.178,0.011
24.228,0.012
24.26,0.011
24.28,0.012
24.38,0.011
24.395,0.012
24.428,0.011
24.465,0.012
24.558,0.012
24.56,0.011
24.596,0.011
24.65,0.012
24.677,0.011
24.732,0.012
24.764,0.012
24.81,0.011
24.825,0.012
24.851,0.011
24.897,0.012
24.931,0.011
24.982,0.012
25.032,0.011
25.086,0.012
25.126,0.011
25.147,0.011
25.195,0.012
25.281,0.011
25.295,0.012
25.307,0.011
25.373,0.012
25.405,0.011
25.461,0.012
25.477,0.011
25.513,0.012
25.557,0.011
25.612,0.012
25.687,0.012
25.689,0.011
25.725,0.011
25.763,0.012
25.826,0.012
25.866,0.011
25.899,0.012
25.935,0.011
25.96,0.012
25.967,0.011
26.067,0.011
26.085,0.012
26.159,0.011
26.189,0.012
26.219,0.012
26.233,0.011
26.308,0.012
26.324,0.011
26.363,0.011
26.4,0.012
26.439,0.012
26.461,0.011
26.549,0.012
26.57,0.011
26.617,0.012
26.656,0.011
26.689,0.011
26.742,0.012
26.801,0.012
26.821,0.011
26.9,0.012
26.917,0.011
26.935,0.011
26.99,0.012
27.012,0.012
27.077,0.011
27.084,0.012
27.131,0.011
27.181,0.012
27.206,0.011
27.259,0.011
27.288,0.012
27.347,0.012
27.387,0.011
27.406,0.012
27.42,0.011
27.501,0.012
27.525,0.011
27.594,0.011
27.637,0.012
27.714,0.011
27.722,0.012
27.755,0.011
27.778,0.012
27.808,0.012
27.851,0.011
27.895,0.011
27.91,0.012
27.997,0.012
28.0,0.011
28.097,0.012
28.129,0.011
28.13,0.012
28.147,0.011
28.236,0.011
28.258,0.012
28.314,0.011
28.368,0.012
28.392,0.012
28.415,0.011
28.489,0.012
28.491,0.011
28.561,0.011
28.607,0.012
28.623,0.012
28.664,0.011
28.7,0.011
28.717,0.012
28.807,0.011
28.834,0.012
28.888,0.012
28.912,0.011
29.002,0.012
29.009,0.011
29.021,0.011
29.083,0.012
29.113,0.011
29.169,0.012
29.195,0.012
29.216,0.011
29.301,0.012
29.316,0.011
29.352,0.012
29.38,0.011
29.425,0.011
29.501,0.012
29.505,0.012
29.574,0.011
29.63,0.011
29.662,0.012
29.72,0.012
29.725,0.011
29.779,0.012
29.813,0.011
29.831,0.012
29.874,0.011
29.98,0.012
29.981,0.011
29.996,0.012
30.005,0.011
30.077,0.012
30.131,0.011
30.174,0.011
30.206,0.012
30.284,0.012
30.305,0.011
30.34,0.011
30.378,0.012
30.4,0.012
30.446,0.01
30.487,0.011
30.539,0.012
30.566,0.012
30.62,0.011
30.64,0.012
30.66,0.011
30.74,0.012
30.766,0.011
30.815,0.012
30.857,0.011
30.911,0.011
30.919,0.012
30.999,0.012
31.039,0.011
31.081,0.011
31.107,0.012
31.181,0.011
31.19,0.012
31.207,0.012
31.239,0.011
31.302,0.012
31.356,0.011
31.364,0.011
31.366,0.012
31.507,0.011
31.515,0.012
31.577,0.011
31.586,0.012
31.612,0.012
31.632,0.011
31.72,0.011
31.734,0.012
31.775,0.012
31.794,0.011
31.869,0.011
31.9,0.012
31.936,0.011
31.989,0.012
32.031,0.011
32.046,0.012
32.15,0.011
32.151,0.012
32.19,0.011
32.236,0.012
32.272,0.011
32.321,0.012
32.344,0.011
32.389,0.012
32.427,0.012
32.437,0.011
32.544,0.011
32.557,0.012
32.579,0.012
32.605,0.011
32.661,0.012
32.704,0.011
32.769,0.012
32.796,0.011
32.857,0.011
32.872,0.012
32.941,0.012
32.95,0.011
33.006,0.011
33.047,0.012
33.077,0.011
33.087,0.012
33.172,0.012
33.22,0.011
33.242,0.011
33.288,0.012
33.33,0.011
33.365,0.012
33.409,0.012
33.433,0.011
33.537,0.012
33.539,0.011
33.599,0.011
33.612,0.012
33.645,0.012
33.671,0.011
33.75,0.012
33.775,0.011
33.799,0.011
33.836,0.012
33.891,0.012
33.928,0.011
33.987,0.012
33.995,0.011
34.032,0.012
34.055,0.011
34.122,0.011
34.152,0.012
34.204,0.011
34.249,0.012
34.31,0.012
34.311,0.011
34.397,0.012
34.418,0.011
34.472,0.011
34.476,0.012
34.538,0.012
34.595,0.011
34.608,0.011
34.625,0.012
34.677,0.011
34.737,0.012
34.795,0.011
34.819,0.012
34.902,0.012
34.908,0.011
34.922,0.012
34.956,0.011
35.007,0.012
35.068,0.011
35.087,0.011
35.16,0.012
35.205,0.011
35.219,0.012
35.244,0.012
35.279,0.011
35.33,0.011
35.382,0.012
35.442,0.011
35.482,0.012
35.49,0.012
35.533,0.011
35.603,0.012
35.616,0.011
35.674,0.011
35.709,0.012
35.752,0.011
35.753,0.012
35.812,0.011
35.822,0.012
35.949,0.011
35.969,0.012
36.042,0.011
36.05,0.012
36.058,0.011
36.08,0.012
36.142,0.012
36.152,0.011
36.285,0.011
36.287,0.012
36.304,0.012
36.313,0.011
36.422,0.011
36.438,0.012
36.479,0.011
36.489,0.012
36.586,0.012
36.601,0.011
36.659,0.012
36.687,0.011
36.738,0.012
36.74,0.011
36.801,0.012
36.849,0.011
36.873,0.012
36.896,0.011
36.943,0.012
36.978,0.011
37.06,0.011
37.1,0.012
37.13,0.011
37.137,0.012
37.218,0.011
37.227,0.012
37.309,0.011
37.338,0.012
37.353,0.012
37.381,0.011
37.452,0.012
37.489,0.011
37.567,0.012
37.576,0.011
37.591,0.012
37.593,0.011
37.7,0.011
37.716,0.012
37.75,0.011
37.781,0.012
37.861,0.011
37.887,0.012
37.944,0.011
37.989,0.012
38.057,0.012
38.069,0.011
38.079,0.011
38.101,0.012
38.165,0.012
38.18,0.011
38.258,0.011
38.272,0.012
38.325,0.012
38.34,0.011
38.411,0.011
38.421,0.012
38.528,0.011
38.555,0.012
38.58,0.012
38.584,0.011
38.64,0.011
38.691,0.012
38.752,0.011
38.77,0.012
38.805,0.012
38.827,0.011
38.93,0.011
38.946,0.012
38.963,0.012
39.005,0.011
39.057,0.012
39.081,0.011
39.155,0.012
39.165,0.011
39.205,0.011
39.266,0.012
39.35,0.011
39.352,0.012
39.388,0.012
39.446,0.011
39.448,0.012
39.475,0.011
39.58,0.011
39.592,0.012
39.613,0.011
39.656,0.012
39.737,0.012
39.747,0.011
39.786,0.012
39.845,0.011
39.859,0.012
39.876,0.011
39.952,0.012
39.964,0.011
40.019,0.012
40.047,0.011
40.126,0.012
40.157,0.011
40.202,0.011
40.233,0.012
40.279,0.011
40.297,0.012
40.35,0.012
40.36,0.011
40.448,0.012
40.45,0.011
40.541,0.011
40.569,0.012
40.582,0.011
40.643,0.012
40.697,0.012
40.712,0.011
40.757,0.011
40.782,0.012
40.834,0.012
40.852,0.011
40.916,0.012
40.98,0.011
41.026,0.011
41.055,0.012
41.082,0.011
41.087,0.012
41.163,0.011
41.17,0.012
41.281,0.011
41.288,0.012
41.324,0.012
41.338,0.011
41.391,0.012
41.433,0.011
41.5,0.011
41.542,0.012
41.552,0.012
41.57,0.011
41.663,0.012
41.71,0.011
41.741,0.012
41.78,0.011
41.796,0.012
41.82,0.011
41.883,0.011
41.939,0.012
41.96,0.012
41.967,0.011
42.094,0.011
42.101,0.012
42.152,0.012
42.192,0.011
42.25,0.012
42.274,0.011
42.33,0.011
42.345,0.012
42.39,0.012
42.427,0.011
42.496,0.011
42.497,0.012
42.597,0.012
42.598,0.011
42.622,0.012
42.662,0.011
42.712,0.012
42.723,0.011
42.806,0.011
42.819,0.012
42.847,0.011
42.894,0.012
42.965,0.012
42.979,0.011
43.031,0.012
43.066,0.011
43.109,0.011
43.147,0.012
43.188,0.012
43.199,0.011
43.246,0.011
43.287,0.012
43.381,0.011
43.383,0.012
43.435,0.011
43.471,0.012
43.492,0.011
43.523,0.012
43.599,0.012
43.64,0.011
43.695,0.011
43.705,0.012
43.733,0.012
43.749,0.011
43.857,0.011
43.859,0.012
43.931,0.011
43.965,0.012
44.0,0.012
44.029,0.011
44.099,0.011
44.11,0.012
44.146,0.012
44.202,0.011
44.242,0.011
44.253,0.012
44.301,0.012
44.366,0.011
44.393,0.012
44.432,0.011
44.506,0.012
44.507,0.011
44.549,0.012
44.577,0.011
44.652,0.011
44.682,0.012
44.708,0.011
44.717,0.012
44.797,0.011
44.808,0.012
44.916,0.012
44.94,0.011
44.946,0.011
45.018,0.012
45.025,0.012
45.037,0.011
45.13,0.011
45.154,0.012
45.227,0.012
45.265,0.011
45.271,0.012
45.278,0.011
45.355,0.012
45.381,0.011
45.471,0.012
45.498,0.011
45.545,0.011
45.565,0.012
45.602,0.012
45.67,0.011
45.693,0.012
45.724,0.011
45.778,0.011
45.832,0.012
45.88,0.012
45.909,0.011
45.939,0.012
45.963,0.011
46.059,0.011
46.064,0.012
46.121,0.012
46.146,0.011
46.209,0.012
46.232,0.011
46.3,0.011
46.307,0.012
46.32,0.012
46.34,0.011
46.41,0.012
46.449,0.011
46.512,0.012
46.533,0.011
46.564,0.012
46.607,0.011
46.644,0.011
46.666,0.012
46.729,0.011
46.794,0.012
46.849,0.012
46.879,0.011
46.883,0.011
46.954,0.012
46.989,0.012
47.01,0.011
47.07,0.012
47.112,0.011
47.135,0.011
47.146,0.012
47.254,0.012
47.265,0.011
47.299,0.013
47.3,0.011
47.368,0.012
47.429,0.01
47.474,0.011
47.487,0.012
47.564,0.012
47.592,0.011
47.643,0.012
47.682,0.011
47.701,0.012
47.728,0.011
47.809,0.012
47.829,0.011
47.869,0.011
47.871,0.012
47.945,0.011
47.967,0.012
48.027,0.012
48.046,0.011
48.099,0.012
48.108,0.011
48.211,0.011
48.241,0.012
48.284,0.011
48.291,0.012
48.352,0.012
48.4,0.011
48.445,0.012
48.488,0.011
48.523,0.011
48.57,0.012
48.617,0.012
48.626,0.011
48.727,0.012
48.741,0.011
48.76,0.011
48.76,0.012
48.873,0.012
48.902,0.011
48.932,0.011
48.966,0.012
49.004,0.012
49.006,0.011
49.085,0.011
49.085,0.012
49.15,0.012
49.164,0.011
49.245,0.011
49.263,0.012
49.326,0.011
49.335,0.012
49.4,0.011
49.447,0.012
49.49,0.012
49.534,0.011
49.587,0.011
49.626,0.012
49.65,0.011
49.679,0.012
49.755,0.011
49.765,0.012
49.817,0.011
49.832,0.012
49.895,0.011
49.955,0.012
50.006,0.011
50.018,0.012
50.05,0.012
50.051,0.011
50.154,0.012
50.162,0.01
50.223,0.012
50.237,0.011
50.295,0.012
50.311,0.011
50.395,0.011
50.421,0.012
50.472,0.012
50.481,0.011
50.525,0.012
50.533,0.011
50.62,0.012
50.631,0.011
50.712,0.011
50.742,0.012
50.815,0.011
50.822,0.012
50.89,0.011
50.907,0.012
50.945,0.011
50.98,0.012
51.06,0.012
51.082,0.011
51.136,0.013
51.158,0.011
51.185,0.012
51.209,0.011
51.265,0.011
51.287,0.012
51.373,0.011
51.391,0.012
51.482,0.011
51.482,0.012
51.515,0.011
51.541,0.012
51.606,0.011
51.652,0.012
51.675,0.011
51.681,0.012
51.756,0.012
51.782,0.011
51.838,0.011
51.86,0.012
51.908,0.012
51.931,0.011
51.995,0.012
52.021,0.011
52.072,0.012
52.115,0.011
52.156,0.011
52.179,0.012
52.228,0.011
52.255,0.012
52.313,0.011
52.353,0.012
52.383,0.011
52.46,0.012
52.464,0.012
52.525,0.011
52.616,0.011
52.621,0.012
52.667,0.012
52.679,0.011
52.715,0.012
52.748,0.011
52.804,0.012
52.805,0.011
52.897,0.011
52.91,0.012
52.952,0.012
52.965,0.011
53.072,0.012
53.107,0.011
53.142,0.012
53.147,0.011
53.251,0.012
53.262,0.011
53.274,0.011
53.34,0.012
53.382,0.011
53.425,0.012
53.492,0.011
53.493,0.012
53.556,0.012
53.57,0.011
53.617,0.011
53.657,0.012
53.692,0.011
53.724,0.012
53.788,0.012
53.831,0.011
53.855,0.012
53.869,0.011
53.967,0.011
53.992,0.012
54.018,0.012
54.045,0.011
54.086,0.012
54.148,0.011
54.214,0.011
54.236,0.012
54.262,0.011
54.281,0.012
54.347,0.012
54.391,0.011
54.449,0.011
54.47,0.012
54.503,0.012
54.509,0.011
54.602,0.011
54.634,0.012
54.661,0.011
54.68,0.012
54.749,0.011
54.791,0.012
54.859,0.012
54.864,0.011
54.89,0.011
54.932,0.012
55.01,0.011
55.015,0.012
55.094,0.011
55.109,0.012
55.195,0.012
55.206,0.011
55.259,0.012
55.269,0.011
55.298,0.012
55.335,0.011
55.418,0.011
55.447,0.012
55.492,0.011
55.5,0.012
55.577,0.012
55.583,0.011
55.618,0.012
55.622,0.011
55.725,0.011
55.758,0.012
55.828,0.011
55.832,0.012
55.9,0.01
55.905,0.012
55.994,0.011
56.008,0.012
56.047,0.011
56.062,0.012
56.1,0.012
56.1,0.011
56.183,0.011
56.235,0.012
56.302,0.011
56.331,0.012
56.365,0.012
56.403,0.011
56.465,0.011
56.472,0.012
56.504,0.012
56.507,0.011
56.657,0.011
56.66,0.012
56.682,0.011
56.692,0.012
56.79,0.011
56.818,0.012
56.827,0.012
56.83,0.011
56.923,0.011
56.982,0.012
57.006,0.011
57.055,0.012
57.079,0.011
57.125,0.012
57.153,0.011
57.206,0.012
57.242,0.012
57.261,0.011
57.337,0.012
57.359,0.011
57.457,0.012
57.464,0.011
57.49,0.011
57.505,0.012
57.628,0.012
57.63,0.011
57.638,0.012
57.695,0.011
57.717,0.011
57.725,0.012
57.84,0.011
57.857,0.012
57.889,0.011
57.898,0.012
58.015,0.011
58.018,0.012
58.046,0.012
58.097,0.011
58.162,0.012
58.18,0.011
58.217,0.011
58.262,0.012
58.321,0.011
58.36,0.012
58.39,0.012
58.417,0.011
58.451,0.012
58.501,0.011
58.585,0.012
58.6,0.011
58.624,0.012
58.666,0.011
58.746,0.011
58.755,0.012
58.785,0.012
58.82,0.011
58.849,0.011
58.902,0.012
58.941,0.011
58.987,0.012
59.033,0.011
59.056,0.012
59.117,0.01
59.16,0.012
59.177,0.012
59.196,0.011
59.296,0.011
59.327,0.012
59.355,0.011
59.397,0.012
59.413,0.012
59.484,0.011
59.523,0.012
59.559,0.011
59.586,0.011
59.592,0.012
59.715,0.011
59.721,0.012
59.772,0.012
59.78,0.011
59.818,0.011
59.822,0.012
59.916,0.01
59.97,0.012
60.037,0.011
60.039,0.012
60.1,0.011
60.11,0.012
60.2,0.011
60.202,0.012
60.255,0.011
60.285,0.012
60.319,0.011
60.372,0.012
60.392,0.012
60.435,0.011
